index,Car Name,KMs Driven,Fuel Type,Transmission,Ownership,Manufacture,Engine,Seats,car price,CarPrices in Lakhs
1027,Hyundai i10 Era 1.1,120426,Petrol,Manual,4,2009,1598,5,98497,0.98497
1028,Hyundai EON Era Plus,21796,Petrol,Manual,1,2015,1496,5,2.46,2.46
1029,Volkswagen Vento Diesel Comfortline,118881,Diesel,Manual,1,2012,1197,5,2.69,2.69
1030,Toyota Yaris G BSIV,32039,Petrol,Manual,2,2018,2179,7,7.75,7.75
1031,Maruti Baleno 1.2 Alpha,124763,Petrol,Manual,1,2017,2179,7,5.37,5.37
1032,Mahindra Scorpio S8 7C Seater,201197,Diesel,Manual,3,2015,1197,5,6.95,6.95
1033,Mahindra XUV500 W10 2WD,81672,Diesel,Manual,2,2015,998,5,8.51,8.51
1034,Maruti Swift Dzire VXI,20248,Petrol,Manual,1,2021,998,5,7.32,7.32
1035,Maruti Wagon R VXI BS IV,73639,Petrol,Manual,1,2012,1198,5,2.21,2.21
1036,Maruti Wagon R VXI BS IV,82028,Petrol,Manual,2,2010,1248,5,1.55,1.55
1037,Honda Amaze S i-Vtech,32375,Petrol,Manual,4,2016,2179,5,3.87,3.87
1038,Maruti Ciaz ZDi Plus,182048,Diesel,Manual,1,2015,2393,8,4.75,4.75
1039,Land Rover Freelander 2 SE,158108,Diesel,Automatic,1,2014,999,5,13.28,13.28
1040,Toyota Innova Crysta 2.4 G MT 8S BSIV,74176,Diesel,Manual,1,2016,998,5,11.3,11.3
1041,Skoda Rapid 1.0 TSI Ambition,17805,Petrol,Manual,2,2020,1061,5,9.04,9.04
1042,Maruti Zen Estilo LXI BS IV,105209,Petrol,Manual,1,2009,1248,5,1.31,1.31
1043,Maruti Wagon R LXI Minor Duo LPG,72792,Lpg,Manual,1,2008,1956,5,98429,0.98429
1044,Maruti Swift LDI BSIV,93411,Diesel,Manual,2,2014,1396,5,3.7,3.7
1045,Tata Harrier XZ Dark Edition BSIV,51954,Diesel,Manual,1,2019,1197,5,14.52,14.52
1046,Hyundai Verna 1.4 EX,199085,Diesel,Manual,1,2013,1120,5,3.86,3.86
1047,Maruti Swift Dzire 1.2 Vxi BSIV,213709,Petrol,Manual,1,2011,936,5,2.47,2.47
1048,Hyundai Grand i10 CRDi Magna,134698,Diesel,Manual,1,2013,1197,5,2.65,2.65
1049,Chevrolet Beat Diesel PS,82983,Diesel,Manual,1,2012,624,4,1.07,1.07
1050,Hyundai Grand i10 Magna,81678,Petrol,Manual,1,2013,2498,6,2.96,2.96
1051,Tata Nano Twist XT,50789,Petrol,Manual,2,2014,1497,5,86503,0.86503
1052,Mahindra Thar CRDe,46994,Diesel,Manual,1,2018,2179,7,7.82,7.82
1053,Honda City i VTEC VX Option,19528,Petrol,Manual,1,2016,1497,5,7.29,7.29
1054,Tata Hexa XE,68315,Diesel,Manual,2,2017,1248,5,7.25,7.25
1055,Ford Ecosport 1.5 Petrol Trend BSIV,69720,Petrol,Manual,1,2017,1061,5,5.82,5.82
1056,Maruti SX4 S Cross DDiS 200 Sigma,110655,Diesel,Manual,1,2016,1396,5,5.15,5.15
1057,Maruti Wagon R LXI Minor Duo LPG,87100,Lpg,Manual,2,2009,1399,5,1.07,1.07
1058,Hyundai i20 Sportz 1.4 CRDi,124012,Diesel,Manual,2,2013,1299,5,3.19,3.19
1059,Ford Figo Diesel ZXI,92251,Diesel,Manual,2,2010,1498,7,1.34,1.34
1060,Ford Ikon 1.3 Flair,61127,Petrol,Manual,2,2008,1197,5,80902,0.80902
1061,Honda Mobilio V i-DTEC,141083,Diesel,Manual,1,2014,1248,5,3.99,3.99
1062,Maruti Swift LXI BSIV,61802,Petrol,Manual,2,2014,1197,5,3.25,3.25
1063,Chevrolet Sail Hatchback 1.3 TCDi,147215,Diesel,Manual,3,2015,998,5,2.31,2.31
1064,Maruti Ignis 1.2 Delta BSIV,74295,Petrol,Manual,1,2017,1248,5,4.43,4.43
1065,Maruti Wagon R VXI BS IV,66290,Petrol,Manual,2,2017,1197,5,3.49,3.49
1066,Maruti Vitara Brezza ZDi Plus Dual Tone,92485,Diesel,Manual,1,2018,1086,5,8.22,8.22
1067,Maruti Baleno 1.2 Delta,57563,Petrol,Manual,1,2018,1197,5,5.36,5.36
1068,Hyundai i10 Magna 1.1L,30675,Petrol,Manual,1,2011,1199,5,2.25,2.25
1069,Maruti Swift Dzire VXI,58835,Petrol,Manual,1,2013,1582,5,3.37,3.37
1070,Volkswagen Polo Diesel Comfortline 1.2L,122571,Diesel,Manual,3,2013,1399,5,2.58,2.58
1071,Hyundai Verna 1.6 SX,116064,Diesel,Manual,2,2013,5461,5,4.07,4.07
1072,Ford Classic 1.4 Duratorq Titanium,128396,Diesel,Manual,1,2012,3996,4,1.58,1.58
1073,Mercedes-Benz G G63 AMG,47000,Petrol,Automatic,2,2017,1199,5,1.52,1.52
1074,Porsche Panamera GTS,10000,Petrol,Automatic,1,2019,1950,5,1.75,1.75
1075,Chevrolet Beat LT,37275,Petrol,Manual,1,2014,1950,5,2.55,2.55
1076,Mercedes-Benz E-Class Exclusive E 220 d BSIV,44000,Diesel,Automatic,1,2017,1086,5,44,44
1077,Mercedes-Benz E-Class Exclusive E 220 d BSIV,39000,Diesel,Automatic,1,2017,1991,5,43.5,43.5
1078,Hyundai Santro Xing XG,97767,Petrol,Manual,5,2005,1198,5,84637,0.84637
1079,Mercedes-Benz GLC 200,32000,Petrol,Automatic,1,2020,1248,5,56.5,56.5
1080,Honda Amaze S i-VTEC,53931,Petrol,Manual,1,2018,1199,5,5,5
1081,Fiat Avventura MULTIJET Active,73818,Diesel,Manual,1,2014,2498,6,3.47,3.47
1082,Honda Jazz 1.2 V AT i VTEC,27200,Petrol,Automatic,1,2017,1462,5,6.9,6.9
1083,Mahindra Thar CRDe,46365,Diesel,Manual,1,2017,1461,5,7.72,7.72
1084,Maruti Ciaz Alpha BSIV,82496,Petrol,Manual,1,2019,1248,5,8.72,8.72
1085,Renault Duster 110PS Diesel RxL AMT,73656,Diesel,Automatic,1,2016,1493,7,6.51,6.51
1086,Maruti Ciaz ZDi SHVS,92530,Diesel,Manual,1,2016,1368,5,5.43,5.43
1087,Mahindra TUV 300 mHAWK100 T8,68364,Diesel,Manual,2,2017,1197,5,6.58,6.58
1088,Jeep Compass 1.4 Sport,30224,Petrol,Manual,1,2018,1462,5,12.61,12.61
1089,Maruti Baleno 1.2 Alpha,88658,Petrol,Manual,1,2017,2498,6,5.85,5.85
1090,Maruti Vitara Brezza ZXI,26396,Petrol,Manual,1,2020,998,5,10.53,10.53
1091,Mahindra Thar CRDe,60020,Diesel,Manual,1,2017,1462,5,7.46,7.46
1092,Maruti Alto K10 2010-2014 VXI,55107,Petrol,Manual,1,2014,796,5,2.68,2.68
1093,Maruti Ciaz Alpha AT,3925,Petrol,Automatic,1,2022,1197,5,12.43,12.43
1094,Maruti Alto 800 LXI,21949,Petrol,Manual,1,2017,1995,5,3.23,3.23
1095,Maruti Swift Dzire VXI,41899,Petrol,Manual,1,2016,2400,5,5,5
1096,BMW 5 Series 520d Luxury Line,43000,Diesel,Automatic,1,2019,1950,5,46,46
1097,Volvo XC60 D5 Inscription,20000,Diesel,Automatic,1,2021,1968,5,61,61
1098,Mercedes-Benz GLC 220d 4MATIC,24000,Diesel,Automatic,1,2020,2987,5,56.5,56.5
1099,Audi Q3 35 TDI Quattro Premium Plus,39356,Diesel,Automatic,1,2015,2143,5,17.5,17.5
1100,Mercedes-Benz S-Class S 350 CDI,18000,Diesel,Automatic,1,2017,998,5,71.5,71.5
1101,Mercedes-Benz C-Class 220 CDI AT,40000,Diesel,Automatic,1,2013,1248,5,13.75,13.75
1102,Maruti Alto K10 VXI,30555,Petrol,Manual,1,2016,1197,5,3.15,3.15
1103,Maruti Ciaz VDi Plus SHVS,119878,Diesel,Manual,1,2015,1248,5,4.78,4.78
1104,Hyundai i20 1.2 Magna Opt,84557,Petrol,Manual,1,2011,1997,7,2.43,2.43
1105,Maruti Ciaz VDi Option SHVS,96528,Diesel,Manual,1,2017,999,5,5.36,5.36
1106,Mahindra XUV500 W10 1.99 mHawk,44081,Diesel,Manual,1,2017,1248,5,11.24,11.24
1107,Renault Kiger RXT AMT,6494,Petrol,Automatic,1,2021,998,5,7.75,7.75
1108,Maruti Swift VDI BSIV,118631,Diesel,Manual,1,2014,1198,5,3.4,3.4
1109,Maruti Alto K10 VXI,47133,Petrol,Manual,1,2018,1197,5,3.51,3.51
1110,Honda Amaze S i-VTEC,94025,Petrol,Manual,1,2017,998,5,4.56,4.56
1111,Hyundai i20 Magna 1.2,68841,Petrol,Manual,1,2016,1582,5,5.02,5.02
1112,Hyundai Venue SX Plus Turbo DCT BSIV,31952,Petrol,Automatic,1,2019,998,5,10.46,10.46
1113,Hyundai Creta 1.6 CRDi SX,66518,Diesel,Manual,2,2019,1582,5,11.3,11.3
1114,Hyundai Venue SX Plus Turbo DCT BSIV,26684,Petrol,Automatic,2,2019,1199,5,10.53,10.53
1115,Hyundai Creta 1.6 CRDi SX,38280,Diesel,Manual,1,2015,1197,5,7.9,7.9
1116,Tata Tiago 1.2 Revotron XZ,96392,Petrol,Manual,1,2017,2179,7,3.77,3.77
1117,Maruti Swift Dzire 1.2 ZXi BSIV,92613,Petrol,Manual,1,2011,1498,5,2.86,2.86
1118,Mahindra Scorpio S7 120,40011,Diesel,Manual,1,2018,1396,5,11.78,11.78
1119,Honda City i DTEC VX,98772,Diesel,Manual,2,2015,1248,5,5.33,5.33
1120,Hyundai i20 Asta 1.4 CRDi,38931,Diesel,Manual,1,2013,1396,5,3.5,3.5
1121,Maruti Swift LDI BSIV,82392,Diesel,Manual,1,2017,2179,7,4.27,4.27
1122,Hyundai i20 1.4 Asta,96805,Diesel,Manual,1,2017,998,5,5.72,5.72
1123,Mahindra Scorpio S5 BSIV,68307,Diesel,Manual,1,2018,1197,5,9.98,9.98
1124,Maruti Wagon R LXI BS IV,30404,Petrol,Manual,1,2016,1248,5,3.75,3.75
1125,Maruti Baleno 1.2 Alpha,36438,Petrol,Manual,2,2018,2179,7,6.3,6.3
1126,Maruti Swift VDI BSIV,115206,Diesel,Manual,1,2015,1451,5,3.76,3.76
1127,Mahindra XUV500 W6 2WD,104537,Diesel,Manual,1,2015,2755,7,6.23,6.23
1128,MG Hector Sharp DCT,29827,Petrol,Automatic,2,2019,1968,5,16.13,16.13
1129,Toyota Innova Crysta 2.8 GX AT BSIV,55000,Diesel,Automatic,1,2017,3198,7,15.75,15.75
1130,Audi A6 35 TDI,68000,Diesel,Automatic,1,2016,2755,7,24.5,24.5
1131,Ford Endeavour 3.2 Titanium AT 4X4,80000,Diesel,Automatic,1,2018,814,5,28.75,28.75
1132,Toyota Innova Crysta 2.8 GX AT BSIV,55000,Diesel,Automatic,1,2019,1497,5,19.45,19.45
1133,Hyundai EON Era Plus,67885,Petrol,Manual,1,2013,998,5,2.3,2.3
1134,Kia Seltos HTX IVT G,28000,Petrol,Automatic,1,2021,1197,5,16.5,16.5
1135,Hyundai EON 1.0 Era Plus,48421,Petrol,Manual,1,2013,1582,5,2.3,2.3
1136,Maruti Swift Dzire VXI,49000,Petrol,Manual,1,2014,1995,5,4.25,4.25
1137,Hyundai Verna 1.6 SX,75000,Diesel,Manual,1,2013,1198,5,4.5,4.5
1138,BMW 5 Series 520d Sport Line,55000,Diesel,Automatic,2,2018,1493,5,40.5,40.5
1139,Honda Amaze S Option i-VTEC,6357,Petrol,Manual,1,2017,1199,5,4.71,4.71
1140,Hyundai Venue SX Opt Executive Diesel,24237,Diesel,Manual,1,2022,2755,7,10.24,10.24
1141,Honda Amaze E Petrol,10282,Petrol,Manual,1,2020,1396,5,5.89,5.89
1142,Toyota Innova Crysta 2.8 ZX AT BSIV,111337,Diesel,Automatic,1,2018,1582,5,17.1,17.1
1143,Hyundai Venue SX Opt Diesel BSIV,64104,Diesel,Manual,1,2019,1968,5,9.82,9.82
1144,Hyundai Verna 1.6 CRDi SX,42234,Diesel,Manual,2,2016,1197,5,5.6,5.6
1145,Audi Q5 30 TDI quattro Premium,80000,Diesel,Automatic,3,2015,1197,5,14.75,14.75
1146,Maruti Ignis Sigma,2294,Petrol,Manual,1,2022,1396,5,5.02,5.02
1147,Maruti Baleno Delta,38736,Petrol,Manual,1,2020,998,5,6.31,6.31
1148,Hyundai i20 Asta 1.4 CRDi,130432,Diesel,Manual,1,2014,2694,7,3.81,3.81
1149,Hyundai Venue SX Opt iMT,10000,Petrol,Manual,1,2021,2967,5,11.5,11.5
1150,Toyota Fortuner 2.7 2WD AT,44000,Petrol,Automatic,2,2019,1086,5,31,31
1151,Audi Q5 3.0 TDI Quattro,68000,Diesel,Automatic,3,2011,2967,5,9.95,9.95
1152,Hyundai i10 Magna 1.1L,38000,Petrol,Manual,1,2011,1197,5,2.25,2.25
1153,Audi Q5 3.0 TDI Quattro Technology,35000,Diesel,Automatic,1,2015,2179,7,21,21
1154,Maruti Swift Dzire VXI 1.2 BS IV,65000,Petrol,Manual,1,2019,1582,5,6.5,6.5
1155,Mahindra Scorpio S5,12001,Diesel,Manual,1,2022,2967,7,15.85,15.85
1156,Hyundai Creta 1.6 SX Automatic Diesel,36000,Diesel,Automatic,2,2020,1969,5,14.25,14.25
1157,Audi Q7 45 TDI Quattro Premium Plus,43000,Diesel,Automatic,2,2014,1968,5,18.75,18.75
1158,Volvo XC60 Inscription D5,7500,Diesel,Automatic,1,2020,1798,5,60,60
1159,Audi Q3 2.0 TDI Quattro Premium Plus,56500,Diesel,Automatic,1,2014,1582,5,13,13
1160,Audi A6 35 TFSI Matrix,30000,Petrol,Automatic,1,2018,1950,5,36.75,36.75
1161,Hyundai Verna CRDi 1.6 AT SX Plus,63500,Diesel,Automatic,1,2017,1995,5,10,10
1162,Mercedes-Benz C-Class Progressive C 220d,26500,Diesel,Automatic,1,2019,2179,7,41,41
1163,BMW X1 xDrive 20d xLine,38500,Diesel,Automatic,1,2018,1498,5,28.5,28.5
1164,Mahindra XUV500 R W10 FWD,65000,Diesel,Manual,1,2015,1493,5,8.9,8.9
1165,Honda Amaze VX CVT Diesel,44500,Diesel,Automatic,1,2019,2993,5,9.25,9.25
1166,Hyundai i20 Sportz Diesel,15500,Diesel,Manual,1,2022,1991,5,9.75,9.75
1167,BMW X5 xDrive 30d xLine,20500,Diesel,Automatic,1,2022,1995,5,1,1
1168,Mercedes-Benz E-Class Expression E 200 BSIV,65000,Petrol,Automatic,1,2018,2143,5,44,44
1169,BMW 3 Series 320d GT Luxury Line,64593,Diesel,Automatic,3,2014,2755,7,18.5,18.5
1170,Mercedes-Benz E-Class E250 CDI Avantgarde,63203,Diesel,Automatic,2,2015,1995,4,22,22
1171,Toyota Fortuner 2.8 2WD AT,60500,Diesel,Automatic,1,2017,1248,7,29,29
1172,BMW 6 Series GT 620d Luxury Line 2019-2021,50000,Diesel,Automatic,1,2020,796,5,60.5,60.5
1173,Maruti Ertiga ZDI,43000,Diesel,Manual,2,2014,2987,7,6,6
1174,Maruti Alto 800 LXI,31458,Petrol,Manual,1,2021,1582,5,3.07,3.07
1175,Mercedes-Benz GLS 350d 4MATIC,70000,Diesel,Automatic,2,2016,998,5,52,52
1176,Hyundai Elantra CRDi S,70372,Diesel,Manual,1,2013,624,4,5.25,5.25
1177,Maruti Wagon R LXI CNG,129325,Cng,Manual,1,2012,1991,5,1.9,1.9
1178,Tata Nano Twist XT,59290,Petrol,Manual,4,2015,2993,5,85671,0.85671
1179,Mercedes-Benz GLC 200,15000,Petrol,Automatic,1,2021,1968,5,61,61
1180,BMW X6 xDrive 40d M Sport,75000,Diesel,Automatic,2,2015,2143,5,37.9,37.9
1181,Audi Q5 2.0 TDI Premium Plus,94002,Diesel,Automatic,2,2014,2494,5,16,16
1182,Mercedes-Benz C-Class C 220 CDI Avantgarde,90004,Diesel,Automatic,3,2014,2993,5,11.9,11.9
1183,Toyota Camry 2.5 Hybrid,47000,Petrol,Automatic,1,2017,1498,5,23.5,23.5
1184,BMW X5 xDrive 30d M Sport,83005,Diesel,Automatic,2,2014,1595,5,29,29
1185,Ford Ecosport 1.5 Diesel Titanium,62500,Diesel,Manual,1,2015,2143,5,4.75,4.75
1186,Mercedes-Benz B Class B180 Sports,67000,Petrol,Automatic,2,2013,1197,5,12.9,12.9
1187,Mercedes-Benz GLE 250d,64000,Diesel,Automatic,1,2016,2967,4,36.5,36.5
1188,Maruti Swift ZXI BSIV,39889,Petrol,Manual,2,2017,1997,5,4.41,4.41
1189,Audi A8 L 50 TDI Quattro Premium Plus,81250,Diesel,Automatic,1,2015,1498,5,42,42
1190,Jaguar F-Pace 2.0 R-Dynamic S Diesel,9900,Diesel,Automatic,1,2021,1498,5,74,74
1191,Ford Ecosport 1.5 Diesel Titanium Plus,43000,Diesel,Manual,1,2016,1998,5,5.25,5.25
1192,MG Astor Sharp CVT,2400,Petrol,Automatic,1,2022,2993,4,17.25,17.25
1193,BMW X4 xDrive30i M Sport Silver Shadow Edition,7600,Petrol,Automatic,1,2022,1798,5,74.5,74.5
1194,Jaguar XJ 3.0L LWB Ultimate,79004,Diesel,Automatic,2,2012,2143,5,22.9,22.9
1195,Toyota Corolla Altis VL AT,99300,Petrol,Automatic,2,2015,2987,5,8.75,8.75
1196,Mercedes-Benz M-Class ML 250 CDI,80000,Diesel,Automatic,2,2014,4367,5,21.9,21.9
1197,Mercedes-Benz S-Class S 350 CDI,40000,Diesel,Automatic,1,2015,1968,5,51,51
1198,Land Rover Range Rover Vogue SE 4.4 SDV8,87002,Diesel,Automatic,2,2013,1968,5,35.25,35.25
1199,Audi Q5 2.0 TDI Premium Plus,94002,Diesel,Automatic,2,2013,2487,5,14.25,14.25
1200,Audi A6 2.0 TDI Premium Plus,82005,Diesel,Automatic,2,2013,4367,5,14.25,14.25
1201,Toyota Camry Hybrid 2.5,20000,Petrol,Automatic,1,2019,1998,5,40.9,40.9
1202,Land Rover Range Rover Vogue SE 4.4 SDV8,95004,Diesel,Automatic,1,2013,1498,5,39.75,39.75
1203,BMW X1 sDrive20i xLine,68753,Petrol,Automatic,2,2019,1956,5,28.1,28.1
1204,Ford Ecosport 1.5 DV5 MT Titanium,62500,Diesel,Manual,1,2015,1582,5,4.75,4.75
1205,Jeep Compass 2.0 Sport Plus BSIV,62000,Diesel,Manual,1,2019,1498,5,15.75,15.75
1206,Hyundai Creta 1.6 CRDi AT S Plus,85000,Diesel,Automatic,1,2017,1248,5,8.95,8.95
1207,Honda WR-V i-DTEC VX,58000,Diesel,Manual,1,2017,2143,5,6.99,6.99
1208,Maruti Baleno 1.3 Zeta,55500,Diesel,Manual,1,2018,1248,5,6.2,6.2
1209,Mercedes-Benz GLE 250d,49000,Diesel,Automatic,1,2017,1956,5,44,44
1210,Maruti Baleno 1.3 Zeta,54000,Diesel,Manual,1,2018,1956,5,6.25,6.25
1211,Tata Harrier XM,32500,Diesel,Manual,1,2019,1950,5,12.5,12.5
1212,Tata Harrier XM,33500,Diesel,Manual,1,2019,0,5,12.6,12.6
1213,Mercedes-Benz E-Class Expression E 220 d BSIV,17000,Diesel,Automatic,1,2020,1950,5,58,58
1214,MG ZS EV Exclusive,38000,Electric,Automatic,1,2020,1950,5,21.1,21.1
1215,Mercedes-Benz C-Class Progressive C 200,16500,Petrol,Automatic,1,2018,1998,5,36.5,36.5
1216,Mercedes-Benz E-Class Exclusive E 220d,2000,Diesel,Automatic,1,2022,1950,5,76.25,76.25
1217,Mini Cooper D,29000,Diesel,Automatic,2,2014,1197,5,18.9,18.9
1218,Mercedes-Benz C-Class Progressive C 220d,24000,Diesel,Automatic,2,2020,1995,5,39,39
1219,Maruti Swift LXI,37229,Petrol,Manual,1,2020,2179,7,4.83,4.83
1220,BMW X3 xDrive 20d Luxury Line,19000,Diesel,Automatic,1,2021,1968,5,60,60
1221,Mahindra XUV500 W6 2WD,90928,Diesel,Manual,1,2013,1373,7,4.31,4.31
1222,Audi A3 35 TDI Premium Plus,39000,Diesel,Automatic,1,2020,1950,5,25.8,25.8
1223,Maruti Ertiga VXI CNG,44000,Cng,Manual,1,2016,1399,5,7.25,7.25
1224,Mercedes-Benz C-Class Progressive C 200,12000,Petrol,Automatic,1,2021,1497,5,49.9,49.9
1225,Ford Figo Diesel Titanium,86483,Diesel,Manual,3,2014,1598,5,1.93,1.93
1226,Honda City Edge Edition SV,20000,Petrol,Manual,1,2019,1950,5,9,9
1227,Renault Duster Petrol RxL,49000,Petrol,Manual,2,2017,2755,7,5.75,5.75
1228,Mercedes-Benz C-Class Progressive C 200,12000,Petrol,Automatic,1,2021,1197,5,47.9,47.9
1229,Toyota Innova Crysta 2.8 GX AT BSIV,26000,Diesel,Automatic,1,2018,1248,5,18.75,18.75
1230,Toyota Glanza G,40252,Petrol,Manual,1,2020,1997,5,6.06,6.06
1231,Maruti Swift VDI BSIV,97947,Diesel,Manual,2,2014,1582,5,3.23,3.23
1232,Land Rover Range Rover Velar R-Dynamic S Petrol MY21,38000,Petrol,Automatic,1,2020,1197,5,85,85
1233,Hyundai Creta 1.6 CRDi AT SX Plus,150715,Diesel,Automatic,1,2015,1968,5,7.16,7.16
1234,Hyundai i10 Sportz,102820,Petrol,Manual,1,2010,1996,7,1.58,1.58
1235,Skoda New Laura Ambiente 2.0 TDI CR AT,109403,Diesel,Automatic,3,2012,1462,7,2.53,2.53
1236,MG Gloster Savvy 7-Str,11000,Diesel,Automatic,2,2021,1197,5,39.65,39.65
1237,Maruti Ertiga VXI AT,37377,Petrol,Automatic,1,2019,1461,5,8.58,8.58
1238,Maruti Swift Dzire VXI,84728,Petrol,Manual,2,2015,1969,5,3.67,3.67
1239,Renault Duster 85PS Diesel RxE,53548,Diesel,Manual,2,2013,1968,5,3.24,3.24
1240,Volvo S90 D4 Inscription BSIV,20000,Diesel,Automatic,1,2018,1197,5,44.75,44.75
1241,Audi A6 2.0 TDI,29397,Diesel,Automatic,1,2014,1997,7,16.19,16.19
1242,Hyundai Grand i10 Asta,30346,Petrol,Manual,1,2016,1248,5,4.06,4.06
1243,Mahindra XUV500 W10 1.99 mHawk,42119,Diesel,Manual,1,2017,1248,5,10.63,10.63
1244,Maruti Swift Dzire VDI,120450,Diesel,Manual,2,2014,1451,5,3.27,3.27
1245,Maruti Swift LDI BSIV,148393,Diesel,Manual,3,2014,2993,5,2.67,2.67
1246,MG Hector Hybrid Sharp MT,21549,Petrol,Manual,1,2020,1248,5,13.39,13.39
1247,BMW X5 xDrive 30d,85000,Diesel,Automatic,2,2015,1799,5,29.75,29.75
1248,Maruti Vitara Brezza VDi Option,90468,Diesel,Manual,1,2016,1497,5,5.9,5.9
1249,Honda Civic ZX BSIV,20900,Petrol,Automatic,1,2019,1950,5,15.56,15.56
1250,Hyundai Creta SX,19234,Petrol,Manual,1,2021,1497,5,13.87,13.87
1251,Mercedes-Benz GLC Coupe 300d 4MATIC,24900,Diesel,Automatic,1,2021,1493,5,71.5,71.5
1252,Tata Nexon 1.5 Revotorq XZA Plus DualTone,73269,Diesel,Automatic,1,2018,1353,5,8.75,8.75
1253,Kia Seltos HTX Plus D,48101,Diesel,Manual,1,2020,1997,5,15.25,15.25
1254,Kia Seltos GTX Plus,24001,Petrol,Manual,1,2020,1999,7,14.95,14.95
1255,Jaguar XF 2.0 Petrol Prestige,7500,Petrol,Automatic,1,2020,1956,5,47,47
1256,Hyundai Alcazar Platinum 7-Seater,9701,Petrol,Manual,1,2022,999,5,19.49,19.49
1257,Tata Harrier XZA AT,27133,Diesel,Automatic,1,2021,4461,7,19.9,19.9
1258,Renault KWID Climber 1.0 AMT Opt,18270,Petrol,Automatic,1,2022,1373,5,5.25,5.25
1259,Toyota Land Cruiser VX,56000,Diesel,Automatic,1,2018,1197,5,1.58,1.58
1260,Maruti Ciaz VXi,50001,Petrol,Manual,1,2015,1197,5,5.5,5.5
1261,Maruti Swift VXI 2018,56681,Petrol,Manual,1,2018,1197,5,5.6,5.6
1262,Maruti Baleno Alpha,2755,Petrol,Manual,1,2022,2179,7,9.8,9.8
1263,Maruti Baleno 1.2 Alpha,46201,Petrol,Manual,1,2017,1197,5,6.5,6.5
1264,Mahindra XUV500 W10 2WD,85001,Diesel,Manual,1,2016,1993,5,9.5,9.5
1265,Hyundai Grand i10 AT Asta,64836,Petrol,Automatic,1,2015,1197,5,4.65,4.65
1266,Mercedes-Benz C-Class C 220d,4000,Diesel,Automatic,1,2022,1353,5,62,62
1267,Hyundai Grand i10 Nios AMT Sportz,24057,Petrol,Automatic,1,2020,1956,7,6.9,6.9
1268,Hyundai Creta SX Turbo Dualtone,49559,Petrol,Automatic,1,2020,1497,5,16.95,16.95
1269,Tata New Safari XZA Plus AT,10289,Diesel,Automatic,1,2022,1956,5,23.5,23.5
1270,Honda City i VTEC CVT VX,64000,Petrol,Automatic,1,2016,1451,5,7.75,7.75
1271,MG Hector Smart Diesel MT BSIV,54001,Diesel,Manual,2,2019,1798,5,14.5,14.5
1272,MG Hector Sharp DCT,27779,Petrol,Automatic,1,2021,1396,5,18.25,18.25
1273,Skoda Octavia 1.8 TSI AT Style Plus,70000,Petrol,Automatic,1,2017,2499,5,13.49,13.49
1274,Hyundai Creta 1.4 CRDi S,70000,Diesel,Manual,1,2017,1498,5,8.35,8.35
1275,Lexus NX 300h Luxury,49000,Petrol,Automatic,1,2019,2925,5,48,48
1276,Volkswagen Polo 1.5 TDI Trendline,115000,Diesel,Manual,1,2016,1462,6,4.1,4.1
1277,Mercedes-Benz S-Class S 350 d,13000,Diesel,Automatic,2,2014,1353,5,47.75,47.75
1278,Maruti XL6 Alpha AT,35000,Petrol,Automatic,1,2021,1798,5,12,12
1279,Kia Seltos GTX Plus DCT,3900,Petrol,Automatic,2,2021,2925,7,18.95,18.95
1280,Toyota Corolla Altis G AT,63000,Petrol,Automatic,1,2014,1968,5,8.95,8.95
1281,Mercedes-Benz GLS 400d 4MATIC,15000,Diesel,Automatic,2,2020,2143,5,1.17,1.17
1282,Audi A4 2.0 TDI,60000,Diesel,Automatic,1,2014,1998,5,11.49,11.49
1283,Mercedes-Benz C-Class C 220 CDI Avantgarde,23000,Diesel,Automatic,1,2013,2993,5,12.45,12.45
1284,BMW 5 Series 530i M Sport,6000,Petrol,Automatic,1,2022,1968,5,66,66
1285,BMW X5 xDrive 30d xLine,25000,Diesel,Automatic,1,2020,1950,5,83,83
1286,Audi Q3 2.0 TDI Quattro Premium Plus,64000,Diesel,Automatic,2,2014,1461,5,12.5,12.5
1287,Mercedes-Benz C-Class Progressive C 200,17000,Petrol,Automatic,1,2018,2184,4,36,36
1288,Renault Duster 110PS Diesel RxS AMT,40000,Diesel,Automatic,2,2016,1198,5,6.95,6.95
1289,Mahindra Thar LX 4-Str Convert Top Diesel AT,30000,Diesel,Automatic,1,2020,1451,5,18.75,18.75
1290,Honda Brio S MT,79000,Petrol,Manual,1,2012,1199,5,2.6,2.6
1291,MG Hector Sharp DCT,26000,Petrol,Automatic,1,2020,2967,7,17,17
1292,Honda Amaze S Petrol,25102,Petrol,Manual,1,2019,1198,5,6.4,6.4
1293,Audi Q7 45 TDI Quattro Technology,65000,Diesel,Automatic,1,2017,1197,5,46,46
1294,Volkswagen Polo Petrol Comfortline 1.2L,35000,Petrol,Manual,1,2014,1991,5,3.9,3.9
1295,Hyundai Grand i10 Magna,33000,Petrol,Manual,2,2014,2987,7,3.4,3.4
1296,Mercedes-Benz GLC 300 4MATIC Sport,29000,Petrol,Automatic,1,2019,1998,5,48.1,48.1
1297,Mercedes-Benz GLS 350d Grand Edition,45000,Diesel,Automatic,2,2016,2499,5,59.5,59.5
1298,BMW X3 xDrive 30i Luxury Line,25500,Petrol,Automatic,1,2018,2755,7,45,45
